id;name;prod_ip;extra_prod_ip;test_ip;extra_test_ip
1;cutting-edge ability Hat;supply-chains magenta;encompassing;Directives;sky blue
2;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;encompassing
3;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical
4;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages
5;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent
6;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools
7;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish
8;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal
9;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI
10;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
